"","Infant1_371_gut","Infant1_118_gut","Infant1_413_gut","Infant1_432_gut","Infant1_441_gut","Infant1_454_gut","Infant1_6_gut","Infant1_92_gut","Infant1_98_gut","Infant1_3_gut","Infant1_100_gut","Infant1_623_gut","Infant1_745_gut","Infant1_831_gut","Infant1_835_gut","Infant1_838_gut"
"Archaea",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Archaea:Euryarchaeota:Methanopyri:Methanopyrales:Methanopyraceae",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bacteria",66,1,28,105,40,7,9,1,3,20,3,15,14,17,4,29
"Bacteria:Actinobacteria:Actinobacteria",NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Actinomycetaceae",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales",NA,4,3,NA,NA,NA,NA,NA,29,NA,8,NA,1,NA,NA,NA
"Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae",1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"Bacteria:Bacteroidetes",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales",15,NA,3,23,10,1,NA,NA,NA,NA,NA,16,10,11,1,7
"Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae",18,NA,11,11,15,4,NA,NA,NA,NA,NA,41,40,39,10,39
"Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1
"Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae",19,NA,2,67,21,9,NA,NA,NA,NA,NA,36,9,8,6,30
"Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Rikenellaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3
"Bacteria:Cyanobacteria:Chloroplast:Streptophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2
"Bacteria:Firmicutes",3,NA,NA,1,NA,NA,NA,NA,NA,1,NA,2,2,1,NA,1
"Bacteria:Firmicutes:Bacilli",1,NA,NA,1,NA,NA,6,NA,NA,3,NA,NA,1,NA,NA,NA
"Bacteria:Firmicutes:Bacilli:Bacillales:Staphylococcaceae",NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"Bacteria:Firmicutes:Bacilli:Gemellales",NA,NA,1,NA,NA,NA,2,NA,NA,2,NA,2,NA,NA,NA,NA
"Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"Bacteria:Firmicutes:Bacilli:Lactobacillales:Enterococcaceae",NA,NA,NA,NA,NA,NA,3,NA,NA,7,NA,2,8,NA,NA,NA
"Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA
"Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae",1,NA,NA,NA,2,NA,14,NA,1,20,3,6,10,2,NA,3
"Bacteria:Firmicutes:Bacilli:Turicibacterales:Turicibacteraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,1
"Bacteria:Firmicutes:Clostridia",19,NA,3,12,2,3,NA,NA,NA,NA,NA,20,32,92,15,134
"Bacteria:Firmicutes:Clostridia:Clostridiales",7,NA,5,10,3,3,NA,NA,NA,2,NA,45,24,54,8,97
"Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae",1,NA,NA,4,NA,NA,NA,NA,NA,3,NA,8,2,4,NA,6
"Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae",30,NA,9,37,24,4,NA,NA,NA,NA,NA,45,78,140,23,176
"Bacteria:Firmicutes:Clostridia:Clostridiales:Peptostreptococcaceae",3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,10,7,6,2,12
"Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae",20,NA,5,5,5,1,NA,NA,NA,NA,NA,29,34,106,19,135
"Bacteria:Firmicutes:Clostridia:Clostridiales:Veillonellaceae",6,NA,10,7,9,1,2,NA,NA,NA,NA,20,2,7,4,3
