"","Control1_14_gut","Control1_1_gut","Control1_21_gut","Control1_28_gut","Control1_37_gut","Control1_3_gut","Control1_42_gut","Control1_5_gut","Control1_7_gut","Patient1_14_gut","Patient1_1_gut","NA","Patient1_21_gut","Patient1_28_gut","Patient1_37_gut","Patient1_3_gut","Patient1_42_gut","Patient1_5_gut","NA","Patient2_14_gut","Patient2_1_gut","NA","Patient2_21_gut","Patient2_27_gut","Patient2_28_gut","Patient2_3_gut","NA","Patient2_3.5_gut","NA","Patient2_35_gut","Patient2_42_gut","Patient2_49_gut","Patient2_4_gut","NA","Patient2_56_gut","Patient2_5_gut","NA","Patient2_7_gut"
"Archaea",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Archaea:Euryarchaeota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Archaea:Euryarchaeota:Methanobacteria:Methanobacteriales",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Archaea:Euryarchaeota:Methanobacteria:Methanobacteriales:Methanobacteriaceae",5,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bacteria",456,346,395,536,589,588,663,624,748,367,132,817,268,467,362,245,361,213,646,1647,101,355,189,538,455,68,659,45,1046,419,93,550,88,100,165,139,273,916
"Bacteria:Actinobacteria:Actinobacteria",1,NA,1,1,2,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,1,1,4,NA,1,1,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,1,1,1,2
"Bacteria:Actinobacteria:Actinobacteria:Actinomycetales",2,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1
"Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Actinomycetaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Brevibacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Micrococcaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
