"","p8646_9_gut","p8748_8_gut","p8883_2_gut","p8582_3_gut","p8883_6_gut","p8585_3_gut","p9061_7_gut","SKST023_7_gut","p8748_9_gut","p8883_4_gut","p8646_6_gut","p8808_7_gut","SKST041_1_gut","SKST025_9_gut","SKST007_8_gut","p8712_12_gut","SKST023_1_gut","SKST007_1_gut","SKST024_6_gut","p8600_11_gut","p8649_8_gut","p8748_4_gut","p8748_6_gut","p8649_6_gut","p9193_1_gut","SKST025_2_gut","p8646_5_gut","p9220_7_gut","p8582_11_gut","SKST007_3_gut","p9223_1_gut","p8585_4_gut","p8855_3_gut","SKST011_8_gut","SKST037_2_gut","SKST006_4_gut","p8600_5_gut","SKST014_2_gut","p8582_1_gut","p8600_8_gut","p8712_3_gut","SKST011_4_gut","p8646_12_gut","p8712_4_gut","p9220_1_gut","SKST012_1_gut","p8883_3_gut","p9216_1_gut","p8855_9_gut","SKST011_2_gut","SKST012_5_gut","p9223_4_gut","p9220_4_gut","p8808_6_gut","SKST024_8_gut","p8816_4_gut","p9193_6_gut","p8855_12_gut","SKST006_9_gut","p9216_5_gut","p8585_9_gut","p9223_6_gut","SKST010_1_gut","p9281_5_gut","p8816_11_gut","p8646_1_gut","SKST041_2_gut","p9061_1_gut","p8808_9_gut","SKST024_1_gut","p8582_12_gut","p9281_3_gut","p8600_9_gut","p8816_10_gut","p9220_6_gut","SKST006_7_gut","p8775_11_gut","SKST012_3_gut","p8816_7_gut","SKST027_2_gut","p8646_11_gut","SKST024_5_gut","p8748_12_gut","p9223_8_gut","SKST010_6_gut","p8649_10_gut","p8649_5_gut","SKST023_2_gut","p8808_11_gut","p8855_8_gut","p8748_5_gut","p8712_7_gut","p8646_7_gut","p8712_10_gut","p8582_5_gut","p8712_1_gut","SKST014_5_gut","p8600_3_gut","SKST007_6_gut","SKST010_7_gut","p8600_1_gut","p9220_3_gut","p9281_2_gut","p8775_6_gut","SKST036_2_gut","p8775_2_gut","p8649_9_gut","p8712_8_gut","p8855_10_gut","SKST027_3_gut","SKST011_1_gut","SKST010_2_gut","SKST025_1_gut","p8816_1_gut","SKST027_9_gut","SKST010_3_gut","p8646_2_gut","SKST025_5_gut","p8775_5_gut","p8808_5_gut","SKST011_5_gut","p8712_6_gut","p9216_4_gut","p9223_5_gut","p9223_7_gut","p8775_8_gut","SKST012_6_gut","SKST024_3_gut","p8775_3_gut","p8582_10_gut","p8748_11_gut","SKST023_5_gut","SKST007_7_gut","p8816_3_gut","p8748_10_gut","p9223_3_gut","p8883_7_gut","SKST032_1_gut","SKST027_10_gut","SKST012_4_gut","p8649_7_gut","SKST036_3_gut","p9061_5_gut","p8600_10_gut","p8649_4_gut","p8775_12_gut","p8649_11_gut","p8646_4_gut","SKST032_3_gut","p8883_10_gut","p8775_7_gut","SKST024_4_gut","p8775_10_gut","p9281_1_gut","p8808_4_gut","p8883_11_gut","SKST010_5_gut","SKST012_2_gut","p9216_8_gut","p8649_1_gut","p9061_4_gut","p8646_8_gut","SKST023_6_gut","SKST014_3_gut","p9061_6_gut","p8816_5_gut","SKST024_7_gut","p8816_2_gut","p8748_7_gut","p8646_10_gut","p9193_7_gut","p8600_6_gut","SKST023_3_gut","p8808_8_gut","SKST006_6_gut","p8582_2_gut","p8582_7_gut","p8646_3_gut","SKST032_4_gut","SKST007_2_gut","p8585_7_gut","p9216_7_gut","p8883_8_gut","SKST032_2_gut","p8585_8_gut","p8585_2_gut","SKST023_4_gut","p8600_12_gut","SKST006_5_gut","p9220_2_gut","p8600_2_gut","p8775_1_gut","SKST036_1_gut","p8582_8_gut","SKST025_3_gut","p9216_6_gut","p8600_4_gut","SKST027_12_gut","SKST024_2_gut","SKST011_3_gut"
"sk__Archaea;k__;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria",1,5,3,9,6,1,2,1,7,2,4,4,0,3,4,1,1,5,4,4,5,9,3,7,6,2,4,0,2,1,3,3,1,5,3,0,2,1,7,3,4,1,4,5,4,5,2,3,1,1,6,2,5,0,1,6,4,2,0,7,3,5,8,5,2,6,4,1,2,3,6,2,2,4,2,1,4,4,6,2,2,2,6,6,1,6,0,1,0,1,6,3,5,6,4,7,0,4,1,3,3,4,4,9,0,10,9,6,1,1,1,3,5,7,0,2,4,1,7,2,5,10,3,1,2,7,3,6,10,6,4,1,3,8,4,4,5,1,0,9,7,5,1,2,4,7,4,2,3,2,9,6,4,6,3,1,1,6,3,6,2,5,1,1,4,6,2,5,5,10,3,5,6,4,2,1,11,4,1,4,5,4,3,0,4,1,3,5,0,3,3,6,0,5,3,3,4,0,4,0
"sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_graevenitzii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__;g__Candidatus_Ancillula",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium",0,2,3,0,3,1,1,1,1,1,0,0,1,0,0,2,0,0,1,1,2,1,1,1,3,1,2,3,2,0,1,2,2,0,1,0,2,1,0,0,1,0,2,2,1,0,0,2,1,0,1,0,2,0,0,2,2,1,2,0,1,2,2,1,0,0,0,0,0,0,0,1,1,0,1,1,2,1,0,0,0,0,1,1,2,1,0,0,2,1,1,2,1,3,2,2,1,0,0,1,1,1,2,2,1,2,2,1,1,0,0,0,2,0,0,1,0,0,2,2,0,2,0,1,1,2,0,2,2,2,2,0,0,0,1,1,2,1,0,1,1,0,0,0,2,1,0,1,2,1,1,1,2,2,2,1,2,1,0,2,0,2,1,0,0,2,1,0,1,1,0,0,2,0,0,0,2,1,0,0,2,0,1,2,2,1,1,1,0,1,0,2,0,2,1,0,0,2,1,1
