"","alien_7_gut","alien_392_gut","bugkiller_392_gut","bugkiller_600_gut","bugkiller_7_gut","scavenger_7_gut","scavenger_7_gut","bugkiller_392_gut","tigress_0_gut","halbarad_0_gut","halbarad_392_gut","bugkiller_0_gut","alien_7_gut","alien_2_gut","halbarad_7_gut","alien_392_gut","alien_7_gut","alien_378_gut","daisy_2_gut","peacemaker_7_gut","bugkiller_392_gut","alien_773_gut","alien_7_gut","peacemaker_392_gut","tigress_60_gut","daisy_0_gut","bugkiller_7_gut","bugkiller_7_gut","halbarad_7_gut","alien_392_gut","peacemaker_0_gut","scavenger_2_gut","alien_392_gut","scavenger_7_gut","alien_632_gut","alien_630_gut","alien_392_gut","bugkiller_392_gut","peacemaker_392_gut","peacemaker_392_gut","bugkiller_7_gut","alien_7_gut","bugkiller_7_gut","peacemaker_392_gut","peacemaker_392_gut","alien_376_gut","peacemaker_392_gut","alien_60_gut","alien_632_gut","scavenger_7_gut","bugkiller_7_gut","alien_376_gut","bugkiller_600_gut","peacemaker_392_gut","peacemaker_600_gut","alien_380_gut","bugkiller_392_gut","bugkiller_392_gut","alien_632_gut","halbarad_7_gut","bugkiller_392_gut","alien_7_gut","halbarad_392_gut","alien_377_gut","peacemaker_7_gut","bugkiller_773_gut","bugkiller_392_gut","bugkiller_392_gut","scavenger_0_gut","alien_392_gut","alien_60_gut","peacemaker_7_gut","peacemaker_392_gut","alien_7_gut","alien_637_gut","alien_630_gut","alien_392_gut","bugkiller_392_gut","bugkiller_392_gut","peacemaker_392_gut","scavenger_7_gut","alien_7_gut","alien_773_gut","halbarad_7_gut","alien_630_gut","bugkiller_2_gut","bugkiller_392_gut","peacemaker_2_gut","halbarad_7_gut","peacemaker_392_gut","scavenger_7_gut","daisy_60_gut","alien_378_gut","daisy_60_gut","tigress_2_gut","scavenger_7_gut","bugkiller_773_gut","alien_600_gut","scavenger_7_gut","peacemaker_392_gut","scavenger_0_gut","alien_632_gut","daisy_7_gut","peacemaker_0_gut","scavenger_7_gut","alien_392_gut","tigress_7_gut","bugkiller_392_gut","daisy_2_gut","scavenger_7_gut","halbarad_2_gut","alien_0_gut","alien_2_gut","bugkiller_7_gut","bugkiller_773_gut","alien_632_gut","bugkiller_392_gut","alien_7_gut","tigress_0_gut","bugkiller_7_gut","bugkiller_7_gut","daisy_7_gut","alien_392_gut","bugkiller_7_gut","alien_376_gut","alien_378_gut","alien_377_gut","scavenger_7_gut","alien_392_gut","scavenger_7_gut","peacemaker_7_gut","daisy_2_gut","alien_380_gut","alien_392_gut","peacemaker_392_gut","peacemaker_392_gut","alien_7_gut","halbarad_7_gut","alien_632_gut","halbarad_0_gut","alien_392_gut","alien_392_gut","alien_392_gut","alien_392_gut","tigress_2_gut","tigress_60_gut","alien_7_gut","bugkiller_2_gut","bugkiller_600_gut","bugkiller_600_gut","alien_377_gut","alien_600_gut","peacemaker_392_gut","peacemaker_7_gut","alien_376_gut","bugkiller_7_gut","alien_376_gut","bugkiller_392_gut","alien_0_gut","scavenger_7_gut","alien_60_gut","peacemaker_600_gut","daisy_60_gut","peacemaker_7_gut","halbarad_7_gut","alien_7_gut","tigress_0_gut","alien_392_gut","tigress_7_gut","peacemaker_392_gut","alien_632_gut","alien_0_gut","halbarad_392_gut","alien_7_gut","tigress_2_gut","scavenger_7_gut","scavenger_7_gut","peacemaker_392_gut","tigress_0_gut","peacemaker_7_gut","daisy_60_gut","alien_392_gut","alien_380_gut","daisy_2_gut","peacemaker_392_gut","alien_378_gut","bugkiller_392_gut","halbarad_392_gut","bugkiller_7_gut","peacemaker_7_gut","halbarad_392_gut","daisy_0_gut","alien_637_gut","scavenger_392_gut","tigress_60_gut","bugkiller_2_gut","alien_376_gut","bugkiller_392_gut","daisy_60_gut","alien_380_gut","scavenger_392_gut","peacemaker_0_gut","halbarad_7_gut","alien_2_gut","peacemaker_773_gut","bugkiller_0_gut","alien_392_gut","alien_380_gut","bugkiller_392_gut","bugkiller_7_gut","halbarad_7_gut","alien_392_gut","alien_392_gut","scavenger_2_gut","tigress_0_gut","halbarad_7_gut","alien_7_gut","alien_392_gut","alien_376_gut","alien_7_gut","daisy_7_gut","alien_392_gut","alien_392_gut","peacemaker_392_gut","halbarad_7_gut","daisy_60_gut","bugkiller_392_gut","tigress_2_gut","alien_392_gut","peacemaker_7_gut","alien_60_gut","bugkiller_392_gut","bugkiller_600_gut","scavenger_7_gut","bugkiller_2_gut","bugkiller_7_gut","tigress_0_gut","peacemaker_392_gut","peacemaker_2_gut","alien_392_gut","alien_376_gut","halbarad_7_gut","bugkiller_392_gut","peacemaker_2_gut","bugkiller_392_gut","scavenger_392_gut","alien_392_gut","alien_600_gut","tigress_60_gut","scavenger_0_gut","peacemaker_600_gut","bugkiller_392_gut","alien_392_gut","bugkiller_60_gut","tigress_0_gut","daisy_2_gut","scavenger_392_gut","alien_392_gut","alien_7_gut","bugkiller_600_gut","bugkiller_600_gut","bugkiller_60_gut","bugkiller_392_gut","halbarad_7_gut","peacemaker_392_gut","alien_392_gut","daisy_7_gut","peacemaker_392_gut","daisy_0_gut","bugkiller_60_gut","bugkiller_7_gut","alien_380_gut","alien_378_gut","peacemaker_392_gut","bugkiller_7_gut","alien_392_gut","tigress_60_gut","bugkiller_392_gut","peacemaker_7_gut","bugkiller_392_gut","halbarad_392_gut","bugkiller_392_gut","alien_7_gut","peacemaker_60_gut","alien_7_gut","peacemaker_392_gut","peacemaker_773_gut","alien_7_gut","peacemaker_7_gut","bugkiller_392_gut","bugkiller_392_gut","alien_392_gut","daisy_0_gut","peacemaker_392_gut","halbarad_7_gut","alien_773_gut","bugkiller_0_gut","halbarad_392_gut","bugkiller_392_gut","peacemaker_60_gut","alien_7_gut","bugkiller_7_gut","alien_392_gut","bugkiller_7_gut","alien_637_gut","halbarad_392_gut","daisy_60_gut","peacemaker_7_gut","alien_7_gut","bugkiller_392_gut","bugkiller_600_gut","scavenger_7_gut","daisy_2_gut","alien_632_gut","tigress_7_gut","peacemaker_7_gut","alien_392_gut","alien_377_gut","scavenger_0_gut","peacemaker_60_gut","alien_392_gut","bugkiller_7_gut","peacemaker_773_gut","alien_378_gut","bugkiller_392_gut","alien_600_gut","alien_7_gut","halbarad_0_gut","alien_378_gut","bugkiller_392_gut","alien_392_gut","alien_7_gut","peacemaker_392_gut","bugkiller_773_gut","bugkiller_392_gut","bugkiller_392_gut","bugkiller_60_gut","alien_392_gut","scavenger_7_gut","peacemaker_392_gut","bugkiller_392_gut","tigress_0_gut","alien_392_gut","alien_378_gut","peacemaker_7_gut","alien_392_gut","alien_2_gut","tigress_7_gut","peacemaker_392_gut","scavenger_7_gut","alien_0_gut","bugkiller_7_gut","alien_392_gut","alien_392_gut","peacemaker_7_gut","alien_380_gut","peacemaker_392_gut","alien_773_gut","alien_392_gut","alien_637_gut","daisy_2_gut","alien_392_gut","peacemaker_773_gut","bugkiller_392_gut","peacemaker_2_gut","alien_392_gut","scavenger_7_gut","peacemaker_392_gut","peacemaker_392_gut","bugkiller_392_gut","alien_392_gut","bugkiller_773_gut","bugkiller_7_gut","daisy_2_gut","bugkiller_392_gut","bugkiller_392_gut","bugkiller_7_gut","alien_380_gut","peacemaker_392_gut","bugkiller_392_gut","alien_392_gut","bugkiller_0_gut","peacemaker_392_gut"
"sk__Archaea;k__;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria",2,3,12,2,2,9,3,1,0,4,0,1,1,1,3,3,1,0,0,3,1,1,2,0,0,0,2,1,1,0,3,1,1,6,4,4,3,1,1,1,0,0,0,3,4,0,4,1,2,0,2,0,0,5,6,0,0,0,1,3,1,0,10,0,0,4,2,0,4,0,1,1,1,0,4,6,2,0,0,5,0,0,1,1,3,2,3,6,0,2,6,1,0,0,3,2,5,4,6,2,5,0,0,1,0,1,4,0,0,3,3,1,3,1,4,0,0,0,0,0,2,4,0,0,0,0,0,4,1,1,1,1,0,1,2,8,4,1,6,2,1,2,2,2,3,3,0,2,1,1,0,1,3,0,0,1,0,6,1,3,3,4,0,3,0,3,5,2,10,3,0,1,0,1,3,2,1,7,6,2,5,0,0,2,1,0,2,6,2,2,8,3,5,2,5,3,0,0,2,0,4,4,3,1,4,0,0,0,0,6,2,0,0,0,0,6,0,0,0,1,1,2,0,7,0,0,3,3,0,3,0,0,0,0,2,0,0,2,1,0,0,0,4,5,1,4,0,5,0,0,4,2,0,2,4,0,3,0,2,1,0,3,0,1,5,0,3,8,0,2,1,0,0,0,0,2,9,2,2,0,0,4,3,2,4,0,6,3,3,2,2,3,4,3,5,2,0,1,1,3,0,1,1,3,5,4,3,3,0,0,1,3,2,5,4,3,0,0,4,3,0,0,4,0,2,6,0,3,0,2,2,0,0,0,1,1,0,1,0,0,4,8,0,0,5,1,1,7,4,2,3,0,0,0,4,0,4,3,0,6,3,0,7,2,9,1,4,3,7,3,0,6,8,0,5,2,0,0,4,0,2,0,2
"sk__Bacteria;k__;p__Actinobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium",0,0,2,0,2,1,1,1,0,1,0,2,0,0,2,2,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,2,3,1,2,1,1,1,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,1,1,0,0,0,0,2,2,0,1,0,1,0,2,2,1,0,2,1,0,0,1,0,0,0,0,1,0,0,0,2,1,1,2,1,2,1,2,1,0,0,0,2,0,0,2,1,2,0,0,1,0,0,1,0,0,3,2,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,2,1,2,1,2,0,2,0,1,0,0,2,1,0,0,2,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,2,1,0,1,1,0,0,2,1,1,0,0,2,0,0,1,2,1,0,1,1,0,0,2,0,0,0,1,2,1,1,2,1,2,0,1,0,0,1,0,2,1,2,0,1,1,2,0,0,2,2,0,0,1,0,2,0,0,0,0,2,0,1,0,1,0,1,0,0,1,2,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,1,0,3,2,1,2,1,1,1,2,0,0,0,0,0,0,1,1,0,2,1,0,1,0,0,1,0,1,2,0,0,1,0,0,0,2,2,2,2,0,1,0,3,2,2,2,1,0,1,0,2,2,2,2,1,0,0,1,2,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,2,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,2,1,0,1,1,1,0,1,1,1,2,0,1,1,0,2,1,0,0,0,1,0,1,1
"sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Granulicoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
