"","E_15978_lung","D_15677_lung","E_15628_lung","B_15880_lung","D_15639_lung","B_15651_lung","C_15600_lung","E_15906_lung","B_15670_lung","D_15602_lung","A_15611_lung","F_15607_lung","E_15779_lung","E_15758_lung","D_15595_lung","E_15707_lung","A_15569_lung","A_15616_lung","C_15747_lung","A_15546_lung","E_15877_lung","C_15693_lung","B_15628_lung","B_15581_lung","E_15992_lung","E_15875_lung","B_15856_lung","E_15975_lung","F_15621_lung","E_15646_lung","B_15548_lung","E_15712_lung","C_15798_lung","E_15880_lung","D_15597_lung","D_15618_lung","E_15604_lung","B_15635_lung","E_15971_lung","C_15628_lung","E_15747_lung","B_15649_lung","E_15789_lung","F_15602_lung","E_15985_lung","E_15793_lung","C_15880_lung","E_15819_lung","B_15611_lung","E_15768_lung","E_15912_lung","D_15628_lung","E_15866_lung","E_15845_lung","C_15719_lung","E_15952_lung","E_15894_lung","B_15527_lung","E_15996_lung","A_15588_lung","B_15796_lung","B_15672_lung","C_15894_lung","D_15616_lung","C_15544_lung","F_15611_lung","D_15593_lung","A_15579_lung","E_15761_lung","B_15826_lung","B_15653_lung","E_15679_lung","E_15616_lung","E_15901_lung","E_15775_lung","A_15581_lung","B_15691_lung","B_15765_lung","E_15770_lung","D_15590_lung","D_15614_lung","E_15609_lung","C_15660_lung","B_15679_lung","E_15980_lung","B_15884_lung","B_15737_lung","E_15903_lung","B_15707_lung","E_15987_lung","E_15835_lung","A_15551_lung","D_15757_lung","E_15870_lung","C_15572_lung","D_15588_lung","D_15649_lung","A_15607_lung","F_15642_lung","E_15733_lung","E_15637_lung","D_15600_lung","B_15698_lung","E_15922_lung","A_15583_lung","E_15854_lung","E_15964_lung","E_15756_lung","C_15775_lung","E_15805_lung","E_15882_lung","B_15642_lung","E_15999_lung","A_15562_lung","B_15646_lung","E_15989_lung","E_15740_lung","C_15842_lung"
"sk__Bacteria",64,17,64,30,50,2,31,78,8,23,12,310,64,342,25,214,45,35,49,25,169,17,15,2,47,64,34,27,211,97,10,133,23,126,34,23,35,4,27,36,100,3,71,159,94,41,32,325,22,64,90,14,189,61,18,81,51,49,63,58,23,76,26,12,64,221,7,6,106,20,1,62,107,160,84,26,0,33,381,11,23,54,21,33,27,20,18,77,24,71,113,78,32,70,73,10,24,4,235,452,74,25,28,71,17,124,21,1004,64,189,82,2,146,54,1,98,106,63
"sk__Bacteria;k__;p__;c__;o__Haloplasmatales",0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
"sk__Bacteria;k__;p__Acidobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Acidobacteria;c__Holophagae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Actinobacteria",3,0,2,0,1,0,0,2,0,0,0,5,1,0,1,4,0,0,0,1,13,0,0,1,0,0,0,1,5,5,0,0,1,19,0,0,0,0,8,1,0,0,1,0,3,3,0,0,0,0,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,5,0,0,0,2,0,1,0,0,0,2,0,0,0,3,0,7,0,0,0,1,4,0,4,2,0,10,2,1
"sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria",3,0,1,5,0,5,4,2,3,0,21,20,4,7,0,4,14,6,8,11,77,6,4,10,5,115,8,0,32,9,2,9,3,28,0,0,6,8,6,10,1,6,6,6,2,13,4,5,7,7,7,0,4,7,9,2,6,5,4,23,8,14,7,0,7,19,2,8,3,2,4,4,2,9,11,29,8,9,4,2,3,1,7,3,1,8,4,5,8,5,7,28,1,7,5,0,0,2,0,6,11,0,8,2,18,2,3,1,10,3,72,3,1,36,2,1,17,6
"sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae",0,0,0,0,0,0,0,0,1,0,0,12,2,0,0,2,0,0,0,2,1,0,0,0,0,2,0,0,3,2,0,0,0,6,0,0,0,0,2,0,0,0,3,6,2,2,0,0,0,0,0,0,1,3,0,2,0,0,2,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,8,2,1,0,0,3,0,0,0,0,0,0,2,0,1,1,0,1,3,0
