"","superkingdom","kingdom","phylum","class","order","family","genus","species","strain","reason","source_table"
"3","","Bacteria","","","","","","","","all_1s","M0278_Infant1_gut"
"9","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","","","","","0_to_1","M0278_Infant1_gut"
"10","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","","","","0_to_1","M0278_Infant1_gut"
"11","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","","","","0_to_1","M0278_Infant1_gut"
"12","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","","","","0_to_1","M0278_Infant1_gut"
"17","","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","","","","1_to_0","M0278_Infant1_gut"
"24","","Bacteria","Firmicutes","Clostridia","","","","","","0_to_1","M0278_Infant1_gut"
"27","","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","","","","0_to_1","M0278_Infant1_gut"
"29","","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","","","","0_to_1","M0278_Infant1_gut"
"33","","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","","","","0_to_1","M0278_Infant1_gut"
"1","","Bacteria","","","","","","","","all_1s","M0308_Patient2_gut"
"101","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","","","","","all_1s","M0308_Patient2_gut"
"111","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","","","","all_1s","M0308_Patient2_gut"
"15","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","","","","all_1s","M0308_Patient2_gut"
"19","","Bacteria","Firmicutes","","","","","","","0_to_1","M0308_Patient2_gut"
"23","","Bacteria","Firmicutes","Bacilli","Turicibacterales","Turicibacteraceae","","","","0_to_1","M0308_Patient2_gut"
"291","","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","","","","all_1s","M0308_Patient2_gut"
"31","","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","","","","all_1s","M0308_Patient2_gut"
"13","","","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus iners","","all_1s","M1070_s112_vaginal"
"2","","","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Gardnerella","Gardnerella vaginalis","","all_1s","M1070_s112_vaginal"
