"","est","lower","upper","Study"
"M0278_Infant1_gut",-0.746863863644286,-0.865205534160929,-0.628522193127643,"M0278_Infant1_gut"
"M0308_Patient2_gut",-0.763645520942611,-0.884287728745587,-0.643003313139635,"M0308_Patient2_gut"
"M1070_s112_vaginal",-0.7579544069692,-0.876059898887278,-0.639848915051122,"M1070_s112_vaginal"
"M1070_s116_vaginal",-0.758638586156182,-0.876048119971511,-0.641229052340852,"M1070_s116_vaginal"
"M1070_s12_vaginal",-0.757853216902694,-0.876062785953608,-0.63964364785178,"M1070_s12_vaginal"
"M1070_s127_vaginal",-0.758149543992408,-0.876057656334474,-0.640241431650342,"M1070_s127_vaginal"
"M1070_s128_vaginal",-0.758675965086756,-0.876046805609892,-0.64130512456362,"M1070_s128_vaginal"
"M1070_s130_vaginal",-0.757207050848678,-0.876068460483049,-0.638345641214307,"M1070_s130_vaginal"
"M1070_s135_vaginal",-0.758839197348684,-0.876046804811381,-0.641631589885987,"M1070_s135_vaginal"
"M1070_s15_vaginal",-0.757863271339701,-0.876063937472268,-0.639662605207133,"M1070_s15_vaginal"
"M1070_s17_vaginal",-0.757483956430477,-0.876065057318392,-0.638902855542563,"M1070_s17_vaginal"
"M1070_s23_vaginal",-0.758729908555823,-0.876053851323924,-0.641405965787721,"M1070_s23_vaginal"
"M1070_s27_vaginal",-0.75792844560434,-0.876059562855115,-0.639797328353566,"M1070_s27_vaginal"
"M1070_s3_vaginal",-0.758609765823767,-0.876043392942053,-0.641176138705481,"M1070_s3_vaginal"
"M1070_s35_vaginal",-0.758815106060406,-0.8760485035419,-0.641581708578913,"M1070_s35_vaginal"
"M1070_s40_vaginal",-0.758250227649428,-0.876050616756457,-0.640449838542398,"M1070_s40_vaginal"
"M1070_s5_vaginal",-0.759007024500602,-0.87604395595497,-0.641970093046234,"M1070_s5_vaginal"
"M1070_s52_vaginal",-0.757239572228248,-0.876070966194619,-0.638408178261878,"M1070_s52_vaginal"
"M1070_s53_vaginal",-0.757390565306031,-0.876065470614401,-0.63871565999766,"M1070_s53_vaginal"
"M1070_s55_vaginal",-0.758222932829742,-0.876057876729637,-0.640387988929848,"M1070_s55_vaginal"
"M1070_s59_vaginal",-0.75742401213219,-0.876066590701415,-0.638781433562964,"M1070_s59_vaginal"
"M1070_s60_vaginal",-0.758146475017358,-0.876060897089623,-0.640232052945092,"M1070_s60_vaginal"
"M1070_s7_vaginal",-0.758913064385877,-0.87604359470506,-0.641782534066693,"M1070_s7_vaginal"
