"","est","lower","upper","Study"
"M1070_s112_vaginal",-0.70050039677544,-0.821566264038479,-0.579434529512401,"M1070_s112_vaginal"
"M1070_s116_vaginal",-0.700873810635017,-0.821646426732291,-0.580101194537743,"M1070_s116_vaginal"
"M1070_s12_vaginal",-0.700327728963561,-0.82153236570265,-0.579123092224471,"M1070_s12_vaginal"
"M1070_s127_vaginal",-0.699739926164485,-0.821427154727722,-0.578052697601247,"M1070_s127_vaginal"
"M1070_s128_vaginal",-0.700700579340774,-0.821607982348383,-0.579793176333166,"M1070_s128_vaginal"
"M1070_s130_vaginal",-0.699130058373808,-0.821331724799452,-0.576928391948164,"M1070_s130_vaginal"
"M1070_s135_vaginal",-0.700826093746042,-0.821636333939614,-0.58001585355247,"M1070_s135_vaginal"
"M1070_s15_vaginal",-0.700254495712181,-0.821518359266123,-0.578990632158239,"M1070_s15_vaginal"
"M1070_s17_vaginal",-0.699994153708111,-0.821469643437573,-0.57851866397865,"M1070_s17_vaginal"
"M1070_s23_vaginal",-0.701055059427612,-0.821690805737955,-0.58041931311727,"M1070_s23_vaginal"
"M1070_s27_vaginal",-0.700002423333327,-0.821471696946389,-0.578533149720265,"M1070_s27_vaginal"
"M1070_s3_vaginal",-0.700618611054009,-0.821589288194167,-0.579647933913851,"M1070_s3_vaginal"
"M1070_s35_vaginal",-0.700849462136244,-0.8216418612973,-0.580057062975188,"M1070_s35_vaginal"
"M1070_s40_vaginal",-0.700322143788678,-0.821530128129275,-0.579114159448082,"M1070_s40_vaginal"
"M1070_s49_vaginal",-0.700197396466585,-0.821504756289833,-0.578890036643337,"M1070_s49_vaginal"
"M1070_s5_vaginal",-0.701274926468992,-0.821746279951717,-0.580803572986268,"M1070_s5_vaginal"
"M1070_s52_vaginal",-0.699812474867444,-0.821440018557988,-0.578184931176901,"M1070_s52_vaginal"
"M1070_s53_vaginal",-0.699075037237722,-0.821323910604963,-0.576826163870481,"M1070_s53_vaginal"
"M1070_s55_vaginal",-0.700821493109285,-0.82163551689658,-0.580007469321991,"M1070_s55_vaginal"
"M1070_s59_vaginal",-0.700700102333275,-0.821607878717249,-0.579792325949302,"M1070_s59_vaginal"
"M1070_s60_vaginal",-0.700200777611893,-0.821508339385939,-0.578893215837847,"M1070_s60_vaginal"
"M1070_s7_vaginal",-0.700851041321985,-0.821641760769132,-0.580060321874837,"M1070_s7_vaginal"
"M1070_s77_vaginal",-0.701083277316011,-0.821696798816344,-0.580469755815677,"M1070_s77_vaginal"
"M1070_s82_vaginal",-0.700606644936484,-0.821587641063565,-0.579625648809402,"M1070_s82_vaginal"
"M1070_s96_vaginal",-0.699665996872594,-0.821414014457845,-0.577917979287343,"M1070_s96_vaginal"
"M1278_A_gut",-0.697830437236065,-0.822816708581412,-0.572844165890718,"M1278_A_gut"
"M1278_B_gut",-0.716808337768096,-0.82492089937693,-0.608695776159263,"M1278_B_gut"
"M1818_Astronaut_Armpit",-0.698777238561007,-0.819910076912747,-0.577644400209268,"M1818_Astronaut_Armpit"
"M1818_Astronaut_Back",-0.700710538498856,-0.822010972419121,-0.579410104578591,"M1818_Astronaut_Back"
"M1818_Astronaut_Chest",-0.700659678327416,-0.821946849605826,-0.579372507049007,"M1818_Astronaut_Chest"
"M1818_Astronaut_Groin",-0.700392044395865,-0.821647732750261,-0.579136356041469,"M1818_Astronaut_Groin"
"M1818_Astronaut_Leg",-0.700920136898388,-0.822247490014516,-0.57959278378226,"M1818_Astronaut_Leg"
"M2184_F4_gut",-0.700164202344351,-0.821538200847483,-0.578790203841219,"M2184_F4_gut"
"M2184_F4_oral",-0.700752734040841,-0.821604924669821,-0.579900543411861,"M2184_F4_oral"
"M2184_F4_skin.extra",-0.698554295507372,-0.821624728573991,-0.575483862440752,"M2184_F4_skin.extra"
"M2184_F4_skin",-0.70118948959819,-0.821549477415311,-0.580829501781068,"M2184_F4_skin"
"M2184_M3_gut",-0.700496369113076,-0.821536648050148,-0.579456090176005,"M2184_M3_gut"
"M2184_M3_oral",-0.699122485607798,-0.821571220701107,-0.576673750514489,"M2184_M3_oral"
"M2184_M3_skin.extra",-0.701071546223695,-0.821802762165663,-0.580340330281727,"M2184_M3_skin.extra"
"M2184_M3_skin",-0.701902061263812,-0.821560619907148,-0.582243502620477,"M2184_M3_skin"
"M3619_P014839_gut",-0.70149878398888,-0.82432400647016,-0.578673561507601,"M3619_P014839_gut"
"M3619_P015163_gut",-0.693211335851287,-0.812694993637022,-0.573727678065551,"M3619_P015163_gut"
"M3659_Person.01.1_Foot",-0.700615677507462,-0.821899503837222,-0.579331851177703,"M3659_Person.01.1_Foot"
"M3659_Person.01.1_Hand",-0.700337961032845,-0.821827793992621,-0.578848128073069,"M3659_Person.01.1_Hand"
"M3659_Person.01.1_Nose",-0.699816785455157,-0.820689038636921,-0.578944532273393,"M3659_Person.01.1_Nose"
"M3659_Person.01.2_Foot",-0.700594050041763,-0.821784661230064,-0.579403438853461,"M3659_Person.01.2_Foot"
"M3659_Person.01.2_Hand",-0.700269969724235,-0.821447702799077,-0.579092236649393,"M3659_Person.01.2_Hand"
"M3659_Person.01.2_Nose",-0.699879295548134,-0.821017029327954,-0.578741561768313,"M3659_Person.01.2_Nose"
"M3659_Person.01.3_Foot",-0.700551394837993,-0.821795282656246,-0.57930750701974,"M3659_Person.01.3_Foot"
"M3659_Person.01.3_Hand",-0.700308623491378,-0.821888966585713,-0.578728280397043,"M3659_Person.01.3_Hand"
"M3659_Person.01.3_Nose",-0.69970021558525,-0.820567737640025,-0.578832693530475,"M3659_Person.01.3_Nose"
"M3659_Person.01.4_Foot",-0.69922493551306,-0.821479482431549,-0.576970388594572,"M3659_Person.01.4_Foot"
"M3659_Person.01.4_Hand",-0.700149332502421,-0.821291477661473,-0.579007187343369,"M3659_Person.01.4_Hand"
"M3659_Person.01.4_Nose",-0.699801284876753,-0.822280270118007,-0.577322299635499,"M3659_Person.01.4_Nose"
"M3659_Person.02.1_Foot",-0.700512510360555,-0.821696074010034,-0.579328946711075,"M3659_Person.02.1_Foot"
"M3659_Person.02.1_Hand",-0.700373596363313,-0.821556401232644,-0.579190791493983,"M3659_Person.02.1_Hand"
"M3659_Person.02.1_Nose",-0.699448311143271,-0.820545370542975,-0.578351251743568,"M3659_Person.02.1_Nose"
"M3659_Person.03.1_Foot",-0.700571081576602,-0.821809214634076,-0.579332948519128,"M3659_Person.03.1_Foot"
"M3659_Person.03.1_Hand",-0.700308405076721,-0.821478688990161,-0.579138121163282,"M3659_Person.03.1_Hand"
"M3659_Person.03.1_Nose",-0.700154215604781,-0.821272448779031,-0.579035982430531,"M3659_Person.03.1_Nose"
"M3659_Person.03.2_Foot",-0.700499268305754,-0.821714802865734,-0.579283733745775,"M3659_Person.03.2_Foot"
"M3659_Person.03.2_Hand",-0.7002195999329,-0.821367219829616,-0.579071980036183,"M3659_Person.03.2_Hand"
"M3659_Person.03.2_Nose",-0.70021339411633,-0.821359494098508,-0.579067294134152,"M3659_Person.03.2_Nose"
"M3659_Person.03.3_Foot",-0.698842288369224,-0.821609719847111,-0.576074856891336,"M3659_Person.03.3_Foot"
"M3659_Person.03.3_Hand",-0.700261089579556,-0.821421666446145,-0.579100512712966,"M3659_Person.03.3_Hand"
