"","est","lower","upper","Study"
"M0278_Infant1_gut",-0.736253583950949,-0.810264806654387,-0.662242361247512,"M0278_Infant1_gut"
"M0308_Patient2_gut",-0.739766520582979,-0.813265303096686,-0.666267738069272,"M0308_Patient2_gut"
"M1070_s112_vaginal",-0.738409860868111,-0.811322133014503,-0.665497588721718,"M1070_s112_vaginal"
"M1070_s116_vaginal",-0.737985981165779,-0.811253072863415,-0.664718889468142,"M1070_s116_vaginal"
"M1070_s12_vaginal",-0.740995009600598,-0.81187219397692,-0.670117825224276,"M1070_s12_vaginal"
"M1070_s127_vaginal",-0.738492621689866,-0.811330720455368,-0.665654522924363,"M1070_s127_vaginal"
"M1070_s128_vaginal",-0.738209850380933,-0.811268349436651,-0.665151351325215,"M1070_s128_vaginal"
"M1070_s130_vaginal",-0.737222928851167,-0.811136535179932,-0.663309322522402,"M1070_s130_vaginal"
"M1070_s135_vaginal",-0.738637357233175,-0.811346477408184,-0.665928237058166,"M1070_s135_vaginal"
"M1070_s15_vaginal",-0.737984993983631,-0.811239510164739,-0.664730477802524,"M1070_s15_vaginal"
"M1070_s17_vaginal",-0.738989599333367,-0.811451562591725,-0.666527636075009,"M1070_s17_vaginal"
"M1070_s23_vaginal",-0.739025011675188,-0.81142875700397,-0.666621266346407,"M1070_s23_vaginal"
"M1070_s27_vaginal",-0.738163971911543,-0.811280311400085,-0.665047632423001,"M1070_s27_vaginal"
"M1070_s3_vaginal",-0.739877440437152,-0.81158066632021,-0.668174214554093,"M1070_s3_vaginal"
"M1070_s35_vaginal",-0.739582384964806,-0.811522844671903,-0.667641925257709,"M1070_s35_vaginal"
"M1070_s40_vaginal",-0.739491482098846,-0.811503275332354,-0.667479688865337,"M1070_s40_vaginal"
"M1070_s5_vaginal",-0.74024175579404,-0.811642503036168,-0.668841008551913,"M1070_s5_vaginal"
"M1070_s52_vaginal",-0.738312253024715,-0.811322765909692,-0.665301740139739,"M1070_s52_vaginal"
"M1070_s53_vaginal",-0.736438278127466,-0.811012663622741,-0.66186389263219,"M1070_s53_vaginal"
"M1070_s55_vaginal",-0.738870074644806,-0.811396762784838,-0.666343386504774,"M1070_s55_vaginal"
