"","est","lower","upper","Study"
"M1070_s112_vaginal",-0.722590652416411,-0.79536117680542,-0.649820128027403,"M1070_s112_vaginal"
"M1070_s116_vaginal",NA,NA,NA,"M1070_s116_vaginal"
"M1070_s12_vaginal",-0.722718036293721,-0.795442565818736,-0.649993506768706,"M1070_s12_vaginal"
"M1070_s127_vaginal",-0.722130459884094,-0.795240031316898,-0.649020888451289,"M1070_s127_vaginal"
"M1070_s128_vaginal",-0.723357494980386,-0.795575925913704,-0.651139064047069,"M1070_s128_vaginal"
"M1070_s130_vaginal",-0.721672185558515,-0.795157049292614,-0.648187321824417,"M1070_s130_vaginal"
"M1070_s135_vaginal",-0.722919048178273,-0.795456934011233,-0.650381162345312,"M1070_s135_vaginal"
"M1070_s15_vaginal",-0.721737218943562,-0.795128419756655,-0.648346018130468,"M1070_s15_vaginal"
"M1070_s17_vaginal",-0.722705987720652,-0.795425676591154,-0.649986298850149,"M1070_s17_vaginal"
"M1070_s23_vaginal",-0.723677655712237,-0.795689735117068,-0.651665576307406,"M1070_s23_vaginal"
"M1070_s27_vaginal",-0.722703651419947,-0.795402661593799,-0.650004641246094,"M1070_s27_vaginal"
"M1070_s3_vaginal",-0.724225993251519,-0.795858162599995,-0.652593823903043,"M1070_s3_vaginal"
"M1070_s35_vaginal",-0.722947540830318,-0.795460720998261,-0.650434360662374,"M1070_s35_vaginal"
"M1070_s40_vaginal",-0.723354473818484,-0.795580390093916,-0.651128557543053,"M1070_s40_vaginal"
"M1070_s49_vaginal",-0.722296750688595,-0.795277298411115,-0.649316202966075,"M1070_s49_vaginal"
"M1070_s5_vaginal",-0.723174207803174,-0.795520017424064,-0.650828398182283,"M1070_s5_vaginal"
"M1070_s52_vaginal",-0.722191774246302,-0.795289571177679,-0.649093977314926,"M1070_s52_vaginal"
"M1070_s53_vaginal",-0.720761402043423,-0.794904245007354,-0.646618559079493,"M1070_s53_vaginal"
"M1070_s55_vaginal",-0.723222772090004,-0.795551822391338,-0.650893721788669,"M1070_s55_vaginal"
"M1070_s59_vaginal",-0.723370897692722,-0.795600657893122,-0.651141137492321,"M1070_s59_vaginal"
"M1070_s60_vaginal",-0.72191564596765,-0.795192216873802,-0.648639075061499,"M1070_s60_vaginal"
"M1070_s7_vaginal",-0.722082566308122,-0.795220856701935,-0.64894427591431,"M1070_s7_vaginal"
"M1070_s77_vaginal",-0.723278932812549,-0.795552729011569,-0.651005136613528,"M1070_s77_vaginal"
"M1070_s82_vaginal",-0.722003591642692,-0.795233938395769,-0.648773244889615,"M1070_s82_vaginal"
"M1070_s96_vaginal",-0.722238537932575,-0.795287308632402,-0.649189767232748,"M1070_s96_vaginal"
"M1278_A_gut",-0.722991324684947,-0.795864533898748,-0.650118115471146,"M1278_A_gut"
"M1278_B_gut",-0.729728966027277,-0.800941027557957,-0.658516904496597,"M1278_B_gut"
"M1818_Astronaut_Armpit",-0.721246668649151,-0.794289460507365,-0.648203876790937,"M1818_Astronaut_Armpit"
"M1818_Astronaut_Back",-0.72286997369708,-0.796190024285163,-0.649549923108998,"M1818_Astronaut_Back"
"M1818_Astronaut_Chest",-0.721723477081961,-0.794721041405234,-0.648725912758689,"M1818_Astronaut_Chest"
"M1818_Astronaut_Groin",-0.721126252952347,-0.793979855072072,-0.648272650832621,"M1818_Astronaut_Groin"
"M1818_Astronaut_Leg",-0.722115469748981,-0.795169069695349,-0.649061869802613,"M1818_Astronaut_Leg"
"M2184_F4_gut",-0.722891795202528,-0.795395116973892,-0.650388473431165,"M2184_F4_gut"
"M2184_F4_oral",-0.725115107079724,-0.795425684357296,-0.654804529802153,"M2184_F4_oral"
"M2184_F4_skin.extra",-0.722609287562059,-0.795542756329118,-0.649675818795,"M2184_F4_skin.extra"
"M2184_F4_skin",-0.721159876457073,-0.795482415885546,-0.6468373370286,"M2184_F4_skin"
"M2184_M3_gut",-0.725252698326214,-0.795481344401348,-0.655024052251079,"M2184_M3_gut"
"M2184_M3_oral",-0.723716548492666,-0.795377525391196,-0.652055571594136,"M2184_M3_oral"
"M2184_M3_skin.extra",-0.729202208631011,-0.795882146514281,-0.662522270747742,"M2184_M3_skin.extra"
"M2184_M3_skin",-0.726202723721271,-0.795615721751021,-0.65678972569152,"M2184_M3_skin"
"M3619_P014839_gut",-0.723123465274764,-0.79661572928714,-0.649631201262388,"M3619_P014839_gut"
"M3619_P015163_gut",-0.721773629404579,-0.795462029273073,-0.648085229536085,"M3619_P015163_gut"
"M3659_Person.01.1_Foot",-0.722497627091828,-0.79545611490198,-0.649539139281676,"M3659_Person.01.1_Foot"
"M3659_Person.01.1_Hand",-0.722425620112276,-0.795313736039257,-0.649537504185295,"M3659_Person.01.1_Hand"
"M3659_Person.01.1_Nose",-0.722355491593059,-0.795178601326256,-0.649532381859862,"M3659_Person.01.1_Nose"
"M3659_Person.01.2_Foot",-0.722313282362287,-0.795098166336784,-0.649528398387791,"M3659_Person.01.2_Foot"
"M3659_Person.01.2_Hand",-0.722344446974436,-0.795157740682996,-0.649531153265875,"M3659_Person.01.2_Hand"
"M3659_Person.01.2_Nose",-0.722272642897862,-0.795023121386916,-0.649522164408808,"M3659_Person.01.2_Nose"
"M3659_Person.01.3_Foot",-0.72240415127002,-0.795272982128748,-0.649535320411292,"M3659_Person.01.3_Foot"
"M3659_Person.01.3_Hand",-0.722394181065285,-0.795253367453288,-0.649534994677281,"M3659_Person.01.3_Hand"
"M3659_Person.01.3_Nose",-0.722175447186795,-0.794833299832939,-0.64951759454065,"M3659_Person.01.3_Nose"
"M3659_Person.01.4_Foot",-0.72228818582509,-0.795049624713817,-0.649526746936363,"M3659_Person.01.4_Foot"
"M3659_Person.01.4_Hand",-0.722219198955963,-0.794912619023207,-0.64952577888872,"M3659_Person.01.4_Hand"
"M3659_Person.01.4_Nose",-0.722377100744751,-0.795222434362917,-0.649531767126584,"M3659_Person.01.4_Nose"
"M3659_Person.02.1_Foot",-0.722369565880691,-0.795203481725302,-0.64953565003608,"M3659_Person.02.1_Foot"
"M3659_Person.02.1_Hand",-0.722258199158402,-0.794987637576386,-0.649528760740418,"M3659_Person.02.1_Hand"
"M3659_Person.02.1_Nose",-0.722162773288965,-0.794811269602298,-0.649514276975632,"M3659_Person.02.1_Nose"
"M3659_Person.03.1_Foot",-0.722224453103333,-0.794923967691504,-0.649524938515162,"M3659_Person.03.1_Foot"
"M3659_Person.03.1_Hand",-0.722347327886114,-0.795161305849344,-0.649533349922885,"M3659_Person.03.1_Hand"
"M3659_Person.03.1_Nose",-0.722369556620578,-0.795208305716911,-0.649530807524245,"M3659_Person.03.1_Nose"
"M3659_Person.03.2_Foot",-0.72237621630239,-0.795217840414963,-0.649534592189818,"M3659_Person.03.2_Foot"
"M3659_Person.03.2_Hand",-0.722416909215487,-0.795301453612002,-0.649532364818971,"M3659_Person.03.2_Hand"
"M3659_Person.03.2_Nose",-0.722189689962012,-0.794858548128734,-0.64952083179529,"M3659_Person.03.2_Nose"
"M3659_Person.03.3_Foot",-0.722356843058024,-0.795186441040908,-0.64952724507514,"M3659_Person.03.3_Foot"
"M3659_Person.03.3_Hand",-0.722417422336156,-0.795301961157302,-0.64953288351501,"M3659_Person.03.3_Hand"
"M3659_Person.03.3_Nose",-0.722259869735545,-0.794993881483583,-0.649525857987508,"M3659_Person.03.3_Nose"
"M3659_Person.04.2_Foot",-0.722444693450063,-0.795349604262832,-0.649539782637295,"M3659_Person.04.2_Foot"
"M3659_Person.04.2_Hand",-0.72238582529871,-0.795236339853751,-0.649535310743669,"M3659_Person.04.2_Hand"
"M3659_Person.04.2_Nose",-0.722409545203447,-0.795285037152723,-0.649534053254172,"M3659_Person.04.2_Nose"
"M3659_Person.04.3_Foot",-0.722541305138637,-0.795542604173914,-0.64954000610336,"M3659_Person.04.3_Foot"
"M3659_Person.04.3_Hand",-0.722562962007765,-0.795585557718064,-0.649540366297467,"M3659_Person.04.3_Hand"
"M3659_Person.04.3_Nose",-0.72232309110178,-0.795113268731386,-0.649532913472174,"M3659_Person.04.3_Nose"
"M3659_Person.05.1_Foot",-0.722453379122351,-0.795369190055366,-0.649537568189337,"M3659_Person.05.1_Foot"
"M3659_Person.05.1_Hand",-0.722436471096979,-0.795336722806614,-0.649536219387344,"M3659_Person.05.1_Hand"
"M3659_Person.05.1_Nose",-0.722669066230877,-0.795795636111708,-0.649542496350047,"M3659_Person.05.1_Nose"
"M3659_Person.05.2_Foot",-0.722497409032864,-0.795457049225173,-0.649537768840555,"M3659_Person.05.2_Foot"
"M3659_Person.05.2_Hand",-0.722556848192459,-0.795574861452057,-0.64953883493286,"M3659_Person.05.2_Hand"
"M3659_Person.05.2_Nose",-0.722477274867472,-0.795415043908069,-0.649539505826875,"M3659_Person.05.2_Nose"
"M3659_Person.06.1_Foot",-0.722558222067673,-0.795578780886625,-0.649537663248722,"M3659_Person.06.1_Foot"
"M3659_Person.06.1_Hand",-0.722432538191276,-0.79532948265004,-0.649535593732513,"M3659_Person.06.1_Hand"
"M3659_Person.06.1_Nose",-0.722666514489735,-0.795790740140163,-0.649542288839308,"M3659_Person.06.1_Nose"
"M3659_Person.06.2_Foot",-0.722495218392875,-0.795452092562217,-0.649538344223534,"M3659_Person.06.2_Foot"
"M3659_Person.06.2_Hand",-0.722479053733624,-0.795421352462344,-0.649536755004904,"M3659_Person.06.2_Hand"
"M3659_Person.06.2_Nose",-0.722492150883609,-0.795444568362234,-0.649539733404984,"M3659_Person.06.2_Nose"
"M3659_Person.06.3_Foot",-0.722406425958378,-0.795277998457346,-0.64953485345941,"M3659_Person.06.3_Foot"
"M3659_Person.06.3_Hand",-0.722516419551911,-0.795494958814689,-0.649537880289133,"M3659_Person.06.3_Hand"
"M3659_Person.06.3_Nose",-0.722572325103705,-0.795603091079816,-0.649541559127594,"M3659_Person.06.3_Nose"
"M3659_Person.07.1_Foot",-0.722467157464844,-0.795397729846887,-0.649536585082802,"M3659_Person.07.1_Foot"
"M3659_Person.07.1_Hand",-0.722507745344814,-0.795477135184311,-0.649538355505316,"M3659_Person.07.1_Hand"
"M3659_Person.07.1_Nose",-0.722330140893299,-0.795126803323795,-0.649533478462802,"M3659_Person.07.1_Nose"
"M3659_Person.07.2_Foot",-0.722334661452272,-0.79513541532809,-0.649533907576454,"M3659_Person.07.2_Foot"
"M3659_Person.07.2_Hand",-0.722532672836903,-0.795525803610476,-0.649539542063329,"M3659_Person.07.2_Hand"
"M3659_Person.07.2_Nose",-0.722249864499914,-0.794970388963244,-0.649529340036585,"M3659_Person.07.2_Nose"
"M4729_ARI.0002_nasopharyngeal",-0.721669712581556,-0.794755899496778,-0.648583525666335,"M4729_ARI.0002_nasopharyngeal"
"M4729_ARI.0031_nasopharyngeal",-0.722444333908748,-0.795347517988463,-0.649541149829034,"M4729_ARI.0031_nasopharyngeal"
"M4729_ARI.0073_nasopharyngeal",NA,NA,NA,"M4729_ARI.0073_nasopharyngeal"
"M4729_ARI.0106_nasopharyngeal",-0.72150806770135,-0.794593922853714,-0.648422212548986,"M4729_ARI.0106_nasopharyngeal"
"M4729_ARI.0129_nasopharyngeal",-0.723270190706328,-0.796037508010582,-0.650502873402073,"M4729_ARI.0129_nasopharyngeal"
"M4729_ARI.0141_nasopharyngeal",-0.722717776522761,-0.795580321199296,-0.649855231846227,"M4729_ARI.0141_nasopharyngeal"
"M4729_ARI.0179_nasopharyngeal",-0.722254979322827,-0.795189783894537,-0.649320174751117,"M4729_ARI.0179_nasopharyngeal"
"M4729_ARI.0203_nasopharyngeal",-0.722306083839561,-0.795250471303841,-0.649361696375282,"M4729_ARI.0203_nasopharyngeal"
"M4729_ARI.0218_nasopharyngeal",-0.72345842025675,-0.796218425669231,-0.650698414844268,"M4729_ARI.0218_nasopharyngeal"
"M4729_ARI.0237_nasopharyngeal",-0.722505911100548,-0.795414174272722,-0.649597647928375,"M4729_ARI.0237_nasopharyngeal"
"M4729_ARI.0328_nasopharyngeal",-0.721824640565665,-0.794854047716318,-0.648795233415012,"M4729_ARI.0328_nasopharyngeal"
"M4729_ARI.0372_nasopharyngeal",-0.722730366152266,-0.795575574652093,-0.649885157652439,"M4729_ARI.0372_nasopharyngeal"
"M4729_ARI.0410_nasopharyngeal",-0.722440287522527,-0.795350397623452,-0.649530177421603,"M4729_ARI.0410_nasopharyngeal"
"M4729_ARI.0450_nasopharyngeal",-0.722078569300992,-0.795063701301594,-0.649093437300391,"M4729_ARI.0450_nasopharyngeal"
"M4729_ARI.0464_nasopharyngeal",-0.722772488872951,-0.795612983782173,-0.64993199396373,"M4729_ARI.0464_nasopharyngeal"
"M4729_ARI.0483_nasopharyngeal",-0.722729925143423,-0.795623883815902,-0.649835966470943,"M4729_ARI.0483_nasopharyngeal"
"M4729_ARI.0484_nasopharyngeal",-0.722313944973568,-0.795244653164414,-0.649383236782722,"M4729_ARI.0484_nasopharyngeal"
"M4729_ARI.0501_nasopharyngeal",-0.722865778744119,-0.795713546964555,-0.650018010523683,"M4729_ARI.0501_nasopharyngeal"
"M4729_ARI.0585_nasopharyngeal",-0.722721383562968,-0.795596539488773,-0.649846227637162,"M4729_ARI.0585_nasopharyngeal"
