"","est","lower","upper","Study"
"M1070",-1.12890744267666,-1.35202497173074,-0.905789913622571,"M1070"
"M1278",-1.01498285213901,-1.23799634579863,-0.791969358479382,"M1278"
"M1818",-1.10407535241323,-1.37307829694606,-0.835072407880402,"M1818"
"M2184",-1.18575577097823,-1.51275392030267,-0.858757621653795,"M2184"
"M3619",-1.08068174992183,-1.32271892549346,-0.838644574350201,"M3619"
"M3659",-1.09002185321154,-1.35863993279877,-0.821403773624316,"M3659"
"M4708",-1.07489473192154,-1.31548636247258,-0.834303101370487,"M4708"
"M4729",-1.08764090838517,-1.33289771476452,-0.842384102005811,"M4729"
"M5142",-1.09393916895808,-1.34577777454552,-0.842100563370629,"M5142"
"M5147",-1.07265956505457,-1.31521347302479,-0.830105657084344,"M5147"
"M5176",-1.06090315411572,-1.29727690611344,-0.824529402118002,"M5176"
"M5196",-1.03368286565992,-1.26490463918735,-0.8024610921325,"M5196"
"M5261",-1.0796652760996,-1.32321106306874,-0.836119489130466,"M5261"
"M5378",-1.0901899529222,-1.33106065797093,-0.849319247873476,"M5378"
"M5791",-1.07371220451263,-1.31545444282535,-0.831969966199912,"M5791"
"M5816",-1.07488819548097,-1.31584500855855,-0.833931382403394,"M5816"
"M5860",-1.06916788549396,-1.30967375383535,-0.82866201715257,"M5860"
"M6120",-1.07449125019799,-1.31733430161183,-0.831648198784157,"M6120"
"M6263",-1.07465583562973,-1.3251752439132,-0.82413642734625,"M6263"
"M6273",-1.09073974381114,-1.33123081534053,-0.850248672281747,"M6273"
"M6469",-1.07396454568928,-1.31459626026055,-0.833332831118007,"M6469"
"M6530",-1.0850291185164,-1.32743097188471,-0.842627265148082,"M6530"
"M6638",-1.09116917747165,-1.33609133742728,-0.84624701751602,"M6638"
"M1068",-0.989187608560732,-1.15258730980287,-0.82578790731859,"M1068"
"M0278",-1.07508972715596,-1.31598240364756,-0.834197050664356,"M0278"
"M0308",-1.08141364560102,-1.32256875318901,-0.840258538013022,"M0308"
"MT5147",-1.0762971518131,-1.31968288249884,-0.832911421127369,"MT5147"
