"","ID","Group","c","e","N","NLL"
"2","M0278_Infant1_gut","Actinomycetaceae",0.120622253193092,0.762173758375593,1,5.87109300053924
"3","M0278_Infant1_gut","Aerococcaceae",0.00309445438177222,0.0160621179282114,1,2.90345230127541
"4","M0278_Infant1_gut","Alcaligenaceae",0.328426736596008,0.467294255087326,1,10.0356233017873
"5","M0278_Infant1_gut","Bifidobacteriaceae",0.00807579786423737,0.0133964510039722,1,6.57047469980019
"6","M0278_Infant1_gut","Clostridiaceae",4.82909325982904,7.24884175667768,1,10.0951759326831
"7","M0278_Infant1_gut","Coprobacillaceae",0.134381718803753,0.0747912572360909,1,8.74168398827885
"8","M0278_Infant1_gut","Coriobacteriaceae",0.00241824478708015,0.00474905966726342,1,3.05107903320387
"9","M0278_Infant1_gut","Enterobacteriaceae",2.3126064769272,3.46986591120477,1,10.0951846448609
"10","M0278_Infant1_gut","Enterococcaceae",0.00516154987252704,0.0130974332287711,1,4.34380284042713
"11","M0278_Infant1_gut","Fusobacteriaceae",0.00309445438177222,0.0160621179282114,1,2.90345230127541
"12","M0278_Infant1_gut","Lactobacillaceae",0.117802301147078,0.743036281220093,1,5.87063770094021
"13","M0278_Infant1_gut","Methanopyraceae",0.0124635427574625,0.127987212596132,1,3.45725186193182
"14","M0278_Infant1_gut","Pasteurellaceae",0.0418109855116009,0.119360866661141,1,6.99409449005355
"15","M0278_Infant1_gut","Peptostreptococcaceae",0.0426891033053848,0.0356697199008808,1,7.99172286091454
"16","M0278_Infant1_gut","Rikenellaceae",0.301862384391153,1.95937427593715,1,5.88952277542902
"17","M0278_Infant1_gut","Streptococcaceae",0.554448341958692,0.383620117287022,1,10.045674711862
"18","M0278_Infant1_gut","Turicibacteraceae",0.282950163113948,1.122876159254,1,7.50125300555726
"19","M0278_Infant1_gut","Veillonellaceae",0.0344174718696318,0.00570624544171175,1,6.11611302779006
"20","M0278_Infant1_gut","Verrucomicrobiaceae",0.0176979254529635,0.0710579290981026,1,5.27835095494302
"210","M0308_Patient2_gut","Alcaligenaceae",2.52093983175457,0.483359003575186,1,5.54044945913144
"310","M0308_Patient2_gut","Anaeroplasmataceae",0.0547644265337277,0.448397774009846,1,3.25141889920275
