sample_accession	INSDC secondary accession	NCBI submission package	is_reference	organism	BioSampleModel	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	collection_date	sex	geo_loc_name	investigation_type	sample_title	sample_type	specific_host
SAMN02044682	SRS413351	Generic.1.0	skip	human gut metagenome	Generic	2013-04-20	2014-03-06	NA	NA	NA	NA	NA	NA	NA
SAMN02044684	SRS413516	Generic.1.0	skip	human gut metagenome	Generic	2013-04-20	2014-03-06	NA	NA	NA	NA	NA	NA	NA
SAMN02044692	SRS413841	Generic.1.0	NA	human gut metagenome	Generic	2013-04-20	2021-02-28	2010-04-17	male	USA: Philadelphia	metagenome	Human Feces	Human Feces	9606
SAMN02044687	SRS415862	Generic.1.0	skip	human gut metagenome	Generic	2013-07-17	2014-03-06	NA	NA	NA	NA	NA	NA	NA
SAMN02044690	SRS415865	Generic.1.0	skip	human gut metagenome	Generic	2013-07-17	2014-03-06	NA	NA	NA	NA	NA	NA	NA
SAMN02044697	SRS415871	Generic.1.0	skip	human gut metagenome	Generic	2013-07-17	2014-03-06	NA	NA	NA	NA	NA	NA	NA
SAMN02044699	SRS415873	Generic.1.0	skip	human gut metagenome	Generic	2013-07-17	2014-03-06	NA	NA	NA	NA	NA	NA	NA
SAMN02044700	SRS415874	Generic.1.0	skip	human gut metagenome	Generic	2013-07-18	2014-03-06	NA	NA	NA	NA	NA	NA	NA
SAMN02044705	SRS415879	Generic.1.0	skip	human gut metagenome	Generic	2013-07-17	2014-03-06	NA	NA	NA	NA	NA	NA	NA
SAMN02044706	SRS415880	Generic.1.0	skip	human gut metagenome	Generic	2013-07-17	2014-03-06	NA	NA	NA	NA	NA	NA	NA
SAMN02044694	SRS415868	Generic.1.0	skip	human gut metagenome	Generic	2013-07-17	2014-03-06	NA	NA	NA	NA	NA	NA	NA
SAMN02044685	SRS413839	Generic.1.0	skip	human gut metagenome	Generic	2013-04-20	2014-03-06	NA	NA	NA	NA	NA	NA	NA
SAMN02044691	SRS415866	Generic.1.0	skip	human gut metagenome	Generic	2013-07-17	2014-03-06	NA	NA	NA	NA	NA	NA	NA
SAMN02044698	SRS415872	Generic.1.0	skip	human gut metagenome	Generic	2013-07-17	2014-03-06	NA	NA	NA	NA	NA	NA	NA
SAMN02044703	SRS415877	Generic.1.0	skip	human gut metagenome	Generic	2013-07-17	2014-03-06	NA	NA	NA	NA	NA	NA	NA
SAMN02044707	SRS415881	Generic.1.0	skip	human gut metagenome	Generic	2013-07-17	2014-03-06	NA	NA	NA	NA	NA	NA	NA
SAMN02044704	SRS415878	Generic.1.0	skip	human gut metagenome	Generic	2013-07-17	2014-03-06	NA	NA	NA	NA	NA	NA	NA
SAMN02044683	SRS413515	Generic.1.0	skip	human gut metagenome	Generic	2013-04-20	2014-03-06	NA	NA	NA	NA	NA	NA	NA
SAMN02044686	SRS413840	Generic.1.0	skip	human gut metagenome	Generic	2013-04-20	2014-03-06	NA	NA	NA	NA	NA	NA	NA
SAMN02044688	SRS415863	Generic.1.0	skip	human gut metagenome	Generic	2013-07-17	2014-03-06	NA	NA	NA	NA	NA	NA	NA
SAMN02044689	SRS415864	Generic.1.0	skip	human gut metagenome	Generic	2013-07-17	2014-03-06	NA	NA	NA	NA	NA	NA	NA
SAMN02044701	SRS415875	Generic.1.0	skip	human gut metagenome	Generic	2013-07-17	2014-03-06	NA	NA	NA	NA	NA	NA	NA
SAMN02044702	SRS415876	Generic.1.0	skip	human gut metagenome	Generic	2013-07-17	2014-03-06	NA	NA	NA	NA	NA	NA	NA
SAMN02044708	SRS415882	Generic.1.0	skip	human gut metagenome	Generic	2013-07-17	2014-03-06	NA	NA	NA	NA	NA	NA	NA
SAMN02044696	SRS415870	Generic.1.0	skip	human gut metagenome	Generic	2013-07-17	2014-03-06	NA	NA	NA	NA	NA	NA	NA
SAMN02044693	SRS415867	Generic.1.0	skip	human gut metagenome	Generic	2013-07-17	2014-03-06	NA	NA	NA	NA	NA	NA	NA
SAMN02044695	SRS415869	Generic.1.0	skip	human gut metagenome	Generic	2013-07-17	2014-03-06	NA	NA	NA	NA	NA	NA	NA
