sample_accession	collection_date	INSDC secondary accession	NCBI submission package	organism	geo_loc_name	lat_lon	isolation_source	BioSampleModel	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
SAMN06209795	2012-10-15	SRS1910837	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_C	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209783	2013-09-30	SRS1910844	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209781	2013-09-23	SRS1910846	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209758	2012-10-22	SRS1910855	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_B	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209827	2012-09-21	SRS1910857	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209749	2012-10-05	SRS1910860	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_D	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209743	2012-09-14	SRS1910862	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_D	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209752	2013-06-24	SRS1910867	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209801	2013-04-03	SRS1910869	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_C	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209775	2013-01-07	SRS1910872	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209764	2012-07-27	SRS1910874	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_B	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209832	2012-11-02	SRS1910876	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209825	2012-10-08	SRS1910879	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_F	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209782	2013-09-27	SRS1910880	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209819	2013-05-31	SRS1910882	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_B	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209750	2013-06-19	SRS1910887	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209789	2013-10-14	SRS1910888	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209765	2012-08-29	SRS1910889	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_B	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209757	2012-10-15	SRS1910891	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_B	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209797	2012-12-19	SRS1910893	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_C	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209751	2013-06-21	SRS1910902	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209735	2012-07-25	SRS1910908	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_A	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209799	2013-02-11	SRS1910916	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_C	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209842	2012-10-03	SRS1910917	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_A	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209731	2012-08-17	SRS1910918	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_A	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209834	2013-01-02	SRS1910919	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209742	2012-09-12	SRS1910922	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_D	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209771	2013-02-22	SRS1910924	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209778	2013-03-15	SRS1910925	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209823	2012-09-24	SRS1910926	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_F	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209738	2012-09-28	SRS1910927	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_A	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209745	2012-09-19	SRS1910929	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_D	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209767	2012-11-26	SRS1910930	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_B	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209756	2013-07-20	SRS1910932	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209794	2012-09-17	SRS1910934	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_C	Metagenome or environmental	2017-01-15	2021-02-28
