sample_accession	collection_date	INSDC secondary accession	NCBI submission package	organism	host	geo_loc_name	lat_lon	samp_collect_device	BioSampleModel	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
SAMN11103745	2014-10-01T00:01:55Z	SRS4474763	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103746	2014-10-01T00:01:56Z	SRS4474762	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103691	2014-10-01T00:01:01Z	SRS4474760	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103690	2014-10-01T00:01:00Z	SRS4474759	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103699	2014-10-01T00:01:09Z	SRS4474752	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103698	2014-10-01T00:01:08Z	SRS4474751	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11104069	2014-10-01T00:07:19Z	SRS4474750	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11104063	2014-10-01T00:07:13Z	SRS4474744	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103819	2014-10-01T00:03:09Z	SRS4474740	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103816	2014-10-01T00:03:06Z	SRS4474737	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103815	2014-10-01T00:03:05Z	SRS4474736	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103814	2014-10-01T00:03:04Z	SRS4474735	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
