# Constructed from biom file
#OTU ID	A_01	A_02	A_03	A_04	A_05	A_06	A_07	A_08	A_09	A_10	A_11	A_12	A_13	A_14	A_15	A_16	A_17	A_18	A_19	A_20	A_21	A_22	A_23	A_24	B_01	B_02	B_03	B_04	B_05	B_06	B_07	B_08	B_09	B_10	B_11	B_12	B_13	B_14	B_15	B_16	B_17	B_18	B_19	B_20	B_21	B_22	B_23	B_24	C_01	C_02	C_03	C_04	C_05	C_06	C_07	C_08	C_09	C_10	C_11	C_12	C_13	C_14	C_15	C_16	C_17	C_18	C_19	C_20	C_21	C_22	C_23	C_24	G_01	G_02	G_03	G_04	G_05	G_06	G_07	G_08	G_09	G_10	G_11	G_12	G_13	G_14	G_15	G_16	G_17	G_18	G_19	G_20	G_21	G_22	G_23	G_24	L_01	L_02	L_03	L_04	L_05	L_06	L_07	L_08	L_09	L_10	L_11	L_12	L_13	L_14	L_15	L_16	L_17	L_18	L_19	L_20	L_21	L_22	L_23	L_24
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0578995996304	0.00389725420726	0.000745924057827	0.0356179432408	0.00587306599305	0.0145490862958	0.0249317561419	0.00928711576194	0.00834454912517	0.00543327287285	0.000437924239107	0.0	1.27318793527e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.18064459854e-05	0.00202711747719	0.00064147938418	0.000237642585551	0.0	0.0150440355026	0.0169491525424	0.0300449871465	6.23018455191e-05	0.000122298394494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.121228448276	0.00115789473684	0.0	0.0163659709678	0.018560116808	0.010503267303	0.0148126819592	0.00661650233524	0.0179189213164	0.000166766141207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.17359568391e-05	0.0	0.0	6.82901511944e-05	0.0	7.65403750478e-05	0.0	0.00911231698577	0.0	0.00069861028516	0.000449667858968	4.84273226955e-06	0.00120746987647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.18235781939e-05	0.000102923013586	0.000221790962018	0.000907898718854	0.000881512553955	0.0135663527252	0.0	0.0135898610475	0.000116595065338	0.000190060931299	0.0	0.00303745311757
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium	0.0	0.000166611129623	0.000268961807423	0.0	2.13552010592e-05	2.29299290032e-05	5.65813545576e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0006400512e-05	0.000106545441631	4.90117995908e-05	0.0	2.10071774523e-05	0.000110815602837	0.31135372894	0.0	0.0	0.0	0.0	0.0	2.18064459854e-05	0.000516341244191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.71774209986e-05	9.55840183521e-05	0.0	0.0	7.87320982892e-06	0.00300254593757	2.98089247921e-05	0.0142168544194	3.60399322449e-05	2.67971987995e-05	9.53311566053e-05	0.0771344455348	0.0	0.0	0.0	0.00368421052632	0.000166954198898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.47547030616e-05	1.05120415436e-05	0.000473821369344	0.0	0.0	5.9805035584e-05	0.0490730700528	0.0	0.0313915600413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00206659012629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.641664933936	0.000244259892526	0.0	0.00599430540986	0.000164604537598	6.10537883876e-05	0.0	0.00131868131868	0.0	0.0	0.0	0.0	0.0	0.00267599835323	0.0	0.0	0.001276673354	0.0	0.0	0.0	9.86573629784e-05	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium	0.0162294508569	0.000916361212929	0.0	0.0206356465074	0.0394110235548	0.000128980850643	0.0325154184191	0.0013518291288	0.0123816460306	0.0	0.00884173297966	0.0408068986757	0.0	3.55201932299e-05	0.00148916692096	0.00839911588254	0.0	0.017652411283	0.0214519293656	0.0	0.124777358367	0.214342018831	0.0228814286941	0.0207402314656	0.000240019201536	0.000532727208154	1.22529498977e-05	3.81431895335e-05	0.00306004551555	5.54078014184e-05	0.110159839768	0.000500643684738	0.0	0.00234853259884	0.0	0.00260401254661	0.000174451567883	0.000879692490103	0.129180675987	0.00421815589354	0.000631458094145	0.00328981186388	0.00289919714541	0.0159061696658	0.140282988827	0.0426957283889	0.000477920091761	0.0430050209781	0.086496165674	1.57464196578e-05	0.00107233783485	0.0	0.0101548960139	0.000504559051429	0.0272348863799	0.0132748635573	0.0351979064442	0.00986554915313	0.00655107131051	0.0872171336207	0.00826315789474	0.00473036896878	0.0213062308211	0.010866513169	0.00171062985391	0.0192276929968	0.00544888427608	0.00895946065821	0.0306059754942	0.18413969218	0.0182625863771	0.0154982117448	0.000339358170417	0.00116683661134	0.00639658848614	0.00604395604396	0.0	2.39220142336e-05	0.000282872094668	0.180446936107	0.00262258602877	0.0091873753168	0.213407424923	0.0126626467788	0.167185497162	0.00810707090089	0.171189751014	0.260896174863	0.468044393418	0.0357224922669	0.00373707382001	0.0597681888004	0.228485978718	0.104711292795	0.000803893556745	0.139320529517	0.000245732756176	0.0	3.85303426448e-05	0.00569459013937	0.0192038627198	3.05268941938e-05	0.00415209240293	0.0320879120879	0.0	0.000162575191026	0.0454655968879	5.24026620552e-05	0.212998123172	0.00107039934129	0.0867202661492	0.0283466155553	0.00325247735425	0.0121383155962	0.002030972328	0.0145060314552	0.11493582787	0.0867292749734	0.000332881565494	0.0595604937402
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium	0.0	0.0	0.00319392146315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.14647548725e-05	0.0	4.0003200256e-05	0.0	0.0	0.0	0.0	0.0	0.0175810653366	0.0	0.0	0.0	0.0	0.0	0.0	1.91237497849e-05	0.0	0.0601829847909	0.000229621125144	6.85377471643e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.40931752382e-05	0.0	0.0	0.0130847235852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.142238872353	0.00345522602937	0.0	0.0	0.000394972439701	0.0	0.0	0.0	2.95094061232e-05	0.0	0.0	0.0	0.0	1.19610071168e-05	0.0	0.0	0.000158944607804	0.0	0.0	0.00069819105046	0.0	0.0	0.0	0.00126775956284	0.0525832376579	0.000159080866107	0.0	0.0	0.0	0.0	4.84273226955e-06	6.32183181399e-06	0.0	0.0	0.0	0.0	0.0	0.0	2.51641963814e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.120548774337	0.438446106146	3.4000884023e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Dermabacter	0.0	0.000333222259247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.69941484447e-05	0.00738116327133	0.0	0.0	0.0	0.00116068777499	0.0	0.0	0.0	0.000768011503832	0.00109481059777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.74052812859e-05	3.42688735821e-05	0.0	0.0	0.000533026900552	0.000149475815492	0.0	0.00524451475342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.02173226135e-05	0.000828214507557	0.0	0.0	0.000147547030616	0.0	0.0	0.0	0.0	0.00108845164763	0.0	0.0	0.0	0.0	0.00183258453535	0.0	0.0488921442959	0.000911445840929	0.0131253670596	0.000262295081967	0.0372751626483	0.0414847547503	0.0	0.0	0.0168186095923	0.109575881451	0.000159810164895	0.00653045226385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00060992514555	0.0	0.0	0.00277107204787	0.0	0.0	0.00108523099276	0.000257141259992	0.0	0.00523850610132
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Janibacter	0.000209863588667	0.0	0.000302582033351	5.71624556991e-05	3.20328015888e-05	2.00636878778e-05	3.77209030384e-05	0.0135806834016	0.0	0.0	0.0305039787798	0.000461964890668	0.0044286979628	0.0	0.0	0.012503946953	0.0	0.0	0.0	0.0	1.63406702943e-05	0.000175169695643	0.0	5.09275174108e-05	0.000360028802304	0.0	0.0	9.53579738338e-06	0.00105502713427	0.000221631205674	0.00035345403134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00829306740687	0.0	0.00586439588689	0.0	0.0	0.0	0.0	3.892716727e-05	1.57464196578e-05	0.0	0.0	0.00590337954939	0.000336372700953	0.00248320708875	0.0	0.0	0.0	0.0	0.0	0.000105263157895	0.0	0.0	0.00567192677037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.102825525636	1.05120415436e-05	0.0	0.0	0.22699287103	0.643167274685	5.23837212348e-06	0.0	0.000635778431217	0.00072653404383	0.0	0.00599809584259	0.0	4.79708337331e-05	0.0	0.0	0.000382701875239	0.00139637649138	0.0	0.0	0.0	0.0	0.000707038911354	0.000379309908839	3.78050394118e-05	0.00195407914021	0.0	0.0158849093361	0.000219472716798	6.10537883876e-05	0.0	0.0	0.0	4.06437977565e-05	0.0	0.0	0.0	0.0	0.0	0.000100877635428	0.000547145723144	0.0	0.0	0.0	2.69065535396e-05	0.0	0.0	0.00138226127379
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.10403864597e-05	1.22062862374e-05	6.31512472371e-05	0.0	9.0991810737e-05	0.0	0.00800807537012	0.00710819157802	0.000853952266258	0.0014810680862	0.00742268566263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.84799150593e-05	0.0014852661597	0.0	0.00233028340358	0.0	0.0	0.000629940882471	0.000115504039244	3.18613394507e-05	0.019929156063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.17632592657e-05	0.0	0.00603852338431	0.00214351985155	0.000129735339907	0.0197817794731	0.000175543306534	0.000207053626889	0.0	5.76856516556e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0039736151951	0.0	0.0	0.0	0.0	0.0	0.0	0.212021857923	0.0126291618829	0.0233672116659	0.0	0.000698226504678	0.000438796542745	0.000265712825754	7.74837163127e-05	0.00567700496896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000123507616303	5.54477405046e-05	0.00544739231312	0.0	0.0159294141648	0.0	0.00580241258207	0.000565037624331	0.000436022136508	0.0	0.0374090965118
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__	0.00272822665268	0.000583138953682	0.0338219472835	0.0168629244312	0.00116385845773	0.00754108040093	0.00641255351653	0.000478339537882	0.0267055110464	0.0139559849705	0.0473032714412	0.0184785956267	0.000118098612341	3.55201932299e-05	0.0132316142814	0.0	0.0	0.00109190172884	0.0	0.0	0.000359494746475	0.0	0.00409976818065	0.00528372993138	0.235498839907	0.0104059381326	0.627730876208	0.0	7.0023924841e-06	0.0369015957447	0.0104988938198	0.0	0.0	1.72686220503e-05	0.000174947515745	0.0	0.0	0.000172113748064	2.21199787648e-05	0.0473502851711	0.0	0.00400945820911	0.0	0.0252249357326	0.000325354082155	6.79435524966e-06	3.18613394507e-05	0.000429878258477	0.0166997547588	3.93660491446e-05	0.000933971662608	0.0	0.00265381282496	0.00795281171538	0.0	0.0227603136395	6.54236179261e-05	0.0121354985158	0.0	0.00316540948276	0.00578947368421	0.000166954198898	0.00372151733444	0.00235862301342	0.00131718498751	0.000383914003263	0.000129735339907	0.0	0.000728504722115	0.000276071502519	0.0	0.004634080683	0.0025378089266	1.05120415436e-05	0.130774697939	0.0181318681319	0.125405055087	0.0351773219305	0.0412993258215	0.119971447775	0.00516569975364	0.000325603885864	0.000413809411208	0.172484925421	0.0178233534762	0.0	0.000191212423344	0.000131147540984	0.00206659012629	0.0013610251878	0.0	0.0188521156263	0.00086604580805	2.04394481349e-05	0.000169495629434	0.0102224020432	9.45125985294e-05	0.00195407914021	0.000313747075822	0.00689345122134	0.267098296343	0.00232004395873	5.03283927628e-05	0.00043956043956	0.00184054891665	8.12875955129e-05	0.0	0.0	0.0	0.000102923013586	0.00177432769615	0.0100877635428	0.00355644720044	0.00115603005678	0.0582635186596	0.00366468163078	0.000179377023597	0.000240371177819	0.000546876857598	0.00584599672483
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria	0.0	0.0	0.0	5.71624556991e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0480443486295	0.00501919102451	3.55201932299e-05	1.22062862374e-05	0.00590464161667	0.0	0.0	0.0159581425768	0.0185060565276	0.000106214356913	0.0	2.14647548725e-05	0.023681295596	0.000120009600768	0.0	0.0	0.0	0.00228277994982	0.0869348404255	0.000562908272133	7.15205263911e-05	0.0	0.000673476259962	0.0	0.0	0.0	0.0	0.00128295876836	0.0	5.74052812859e-05	0.00774476542956	0.0	0.00618573264781	6.9224272799e-06	2.71774209986e-05	3.18613394507e-05	1.71951303391e-05	0.000856397679941	0.0	4.15098516715e-05	0.0	0.0	0.0	0.0	0.0	0.00634609093883	0.0	0.000270457072452	0.0536099137931	0.000736842105263	0.000946073793756	0.0	0.000898523052732	0.00624379896678	0.0103656780881	0.0	0.00878204559567	0.00018432047186	0.0	0.00906078127203	9.61427527593e-06	0.00221320545924	0.0	0.00995024875622	0.0	0.0	0.00327731595	0.000413831397755	0.0	0.000158944607804	7.53262721028e-05	0.0	0.019517613456	0.0	4.79708337331e-05	2.73160604778e-05	0.0	0.0	0.000707026071586	0.0	0.0	5.77363872033e-06	4.08788962698e-05	0.248746943025	0.0161838894438	4.72562992647e-06	0.0	5.50433466355e-05	0.00944103102053	0.00145400674879	0.0	0.00090591106973	0.0	5.41337916661e-05	0.0	0.0	5.24026620552e-05	0.0	0.000514615067929	0.0011644025506	0.000201755270856	6.07939692383e-05	0.00846622012172	0.000253871541	0.015116811727	0.000197314725957	2.23601095645e-05	0.00508833250113	0.00655913789157
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus	0.00986358866737	8.33055648117e-05	0.0146584185046	0.0	0.0	5.15923402572e-05	0.0113917127176	0.000748705363642	0.000242777373149	0.0	0.00663129973475	0.000153988296889	0.000177147918512	0.0	0.00550503509307	0.0	2.69927389532e-05	0.0	0.0	0.0	0.000294132065297	0.0	0.0161844251739	0.00255910774989	0.144611568926	0.0180416947828	0.0458260326174	0.0	4.66826165607e-06	0.0124667553191	0.00146617968556	7.15205263911e-05	0.00344827586207	0.0	0.0	0.0	0.0	3.82474995697e-05	0.0	0.0147932509506	0.0	0.0117542236387	0.0	0.00329370179949	0.000643785737031	4.0766131498e-05	0.0	0.000584634431529	0.0023356300362	0.0	0.00117611246402	0.0	8.12391681109e-05	0.00478129767783	0.0	0.0223789890131	0.000130847235852	0.000523834468308	0.0	0.00518588362069	0.00389473684211	0.000556513996327	0.00818298548391	0.00513842870781	1.71062985391e-05	6.39856672105e-05	0.0	0.0	0.000623178738195	0.000414107253779	0.0	0.0113160019998	0.00082626337145	1.05120415436e-05	0.0670457237621	0.00494505494505	0.0309462086844	0.0149034148675	0.0399583025579	0.0710054238807	0.000794723039021	9.96250695553e-05	0.00023646252069	0.0619168517931	0.00140389428066	0.0	5.46321209555e-05	8.74316939891e-05	0.000612323000383	0.0020503756076	0.00245725401863	0.000418935902807	0.00146650423496	4.08788962698e-05	5.3270054965e-05	0.00291436446625	1.89025197059e-05	0.0	8.80693546168e-05	0.000749288176233	0.0306438780829	0.0	0.000201313571051	0.0	0.000135334479165	0.000121931393269	0.0	0.0	0.0	4.11692054343e-05	0.000277238702523	0.00403510541713	0.001915010031	0.00377409812655	0.137852246763	0.00244312108719	0.000179377023597	0.000190060931299	9.51090187127e-05	0.00226268246729
