"","ID","fava"
"M1070_s112_vaginal","M1070_s112_vaginal",0.00557999508296522
"M1070_s116_vaginal","M1070_s116_vaginal",0.0048239542895322
"M1070_s12_vaginal","M1070_s12_vaginal",0.0361493779161991
"M1070_s127_vaginal","M1070_s127_vaginal",0.0151650120844427
"M1070_s128_vaginal","M1070_s128_vaginal",0.0271578723192489
"M1070_s130_vaginal","M1070_s130_vaginal",0.0291183200394042
"M1070_s135_vaginal","M1070_s135_vaginal",0.00996182624582547
"M1070_s15_vaginal","M1070_s15_vaginal",0.0111666898000187
"M1070_s17_vaginal","M1070_s17_vaginal",0.0230570001996175
"M1070_s23_vaginal","M1070_s23_vaginal",0.00538959799668428
"M1070_s27_vaginal","M1070_s27_vaginal",0.00730455171210557
"M1070_s3_vaginal","M1070_s3_vaginal",0.0546506739109356
"M1070_s35_vaginal","M1070_s35_vaginal",0.0112359880605648
"M1070_s40_vaginal","M1070_s40_vaginal",0.0426317056584283
"M1070_s49_vaginal","M1070_s49_vaginal",0.0194476508181923
"M1070_s5_vaginal","M1070_s5_vaginal",0.0399009913830947
"M1070_s52_vaginal","M1070_s52_vaginal",0.010601433970345
"M1070_s53_vaginal","M1070_s53_vaginal",0.0143685868702506
"M1070_s55_vaginal","M1070_s55_vaginal",0.00594629060414223
"M1070_s59_vaginal","M1070_s59_vaginal",0.0201032235782103
"M1070_s60_vaginal","M1070_s60_vaginal",0.00666939927514534
"M1070_s7_vaginal","M1070_s7_vaginal",0.0171589883673114
"M1070_s77_vaginal","M1070_s77_vaginal",0.00528963830366714
"M1070_s82_vaginal","M1070_s82_vaginal",0.0102881246206367
"M1070_s96_vaginal","M1070_s96_vaginal",0.0159569067284516
"M1278_A_gut","M1278_A_gut",0.00754108550754181
"M1278_A_oral","M1278_A_oral",0.000116452583862408
"M1278_B_gut","M1278_B_gut",0.00682624023592623
"M1818_Astronaut_Armpit","M1818_Astronaut_Armpit",0.0177066000501086
"M1818_Astronaut_Back","M1818_Astronaut_Back",0.021502926218218
"M1818_Astronaut_Chest","M1818_Astronaut_Chest",0.0150487734357113
"M1818_Astronaut_Groin","M1818_Astronaut_Groin",0.018216673216939
"M1818_Astronaut_Leg","M1818_Astronaut_Leg",0.0187710952078703
"M2184_F4_gut","M2184_F4_gut",0.00228505065694918
"M2184_F4_oral","M2184_F4_oral",0.00193421076367096
"M2184_F4_skin","M2184_F4_skin",0.000549715900338289
"M2184_M3_gut","M2184_M3_gut",0.00230133551430861
"M2184_M3_oral","M2184_M3_oral",0.00415048304344808
"M2184_M3_skin","M2184_M3_skin",0.00255429829982141
"M3619_P014839_gut","M3619_P014839_gut",0.0529885895934381
"M3619_P015163_gut","M3619_P015163_gut",0.059408433024409
