"","model","term","estimate","se","zval","pval","ci.lb","ci.ub","QM_stat","QM_df","QM_pval","QE_stat","QE_df","QE_pval","k"
"1","mod_rho_family.0001","intrcpt",-0.96559425919772,0.14578179847112,-6.62355842309773,3.50653241722696e-11,-1.25132133380259,-0.679867184592849,4.16241284080813,4,0.38447165757401,3030.67136471528,577,0,582
"2","mod_rho_family.0001","pub_year_simple",-0.0296713391264232,0.0306923736002787,-0.966733284067474,0.333677383665265,-0.0898272859830174,0.0304846077301709,4.16241284080813,4,0.38447165757401,3030.67136471528,577,0,582
"3","mod_rho_family.0001","sqrt_freq",-0.0311059348838323,0.0284014641458462,-1.09522293372265,0.273418980725405,-0.0867717817178965,0.0245599119502319,4.16241284080813,4,0.38447165757401,3030.67136471528,577,0,582
"4","mod_rho_family.0001","experiment_typeAssembly",-0.243906994064218,0.249262789815378,-0.978513456600855,0.327820439176927,-0.732453084788336,0.2446390966599,4.16241284080813,4,0.38447165757401,3030.67136471528,577,0,582
"5","mod_rho_family.0001","experiment_typeMetagenomic",-0.105345372730032,0.567929749482325,-0.185490147022683,0.852844607709256,-1.21846722746424,1.00777648200418,4.16241284080813,4,0.38447165757401,3030.67136471528,577,0,582
"6","mod_slope_family.0001","intrcpt",-0.427780488746375,0.0398536752696714,-10.7337776466482,7.06477061559239e-27,-0.505892256926486,-0.349668720566265,8.15418265829925,4,0.0860907932169827,3529.14776310559,577,0,582
"7","mod_slope_family.0001","pub_year_simple",-0.00363691792237025,0.00972581110720917,-0.373944947344743,0.708445275159727,-0.0226991574129398,0.0154253215681993,8.15418265829925,4,0.0860907932169827,3529.14776310559,577,0,582
"8","mod_slope_family.0001","sqrt_freq",0.0192444844431844,0.0087838524374395,2.19089341268512,0.0284595065480489,0.00202845002028859,0.0364605188660802,8.15418265829925,4,0.0860907932169827,3529.14776310559,577,0,582
"9","mod_slope_family.0001","experiment_typeAssembly",-0.165354928037276,0.0833205868749959,-1.98456269019509,0.0471931468149415,-0.328660277483008,-0.00204957859154306,8.15418265829925,4,0.0860907932169827,3529.14776310559,577,0,582
"10","mod_slope_family.0001","experiment_typeMetagenomic",0.0508522889845292,0.19197151917894,0.264894965680451,0.791090376652353,-0.325404974663633,0.427109552632691,8.15418265829925,4,0.0860907932169827,3529.14776310559,577,0,582
"11","mod_rho_family.no_art","intrcpt",-0.636235339854468,0.0817354975141982,-7.78407618726427,7.02244323726974e-15,-0.79643397124076,-0.476036708468177,9.0829136123668,4,0.0590601195422154,1642.05714001478,551,6.53106293050441e-109,556
"12","mod_rho_family.no_art","pub_year_simple",-0.0130976137711414,0.0196622900809469,-0.666128600342094,0.505328905169812,-0.0516349941833765,0.0254397666410937,9.0829136123668,4,0.0590601195422154,1642.05714001478,551,6.53106293050441e-109,556
